command,Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
free -s,How do I check the usage of my RAM every second in terabytes?,,,,,
free -s,Get statistics of available memory in terabytes every 1 second.,,,,,
free -s,Display free RAM memory in terabytes every 1 second.,,,,,
free -s,Display usage of RAM every 1 second in human readable format.,,,,,
free -s,How do I check the usage of my RAM every second in human readable format?,,,,,
free -s,Get statistics of available memory every 1 second in human readable format.,,,,,
free -s,Display free RAM memory every 1 second in human readable format.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in bytes.,,,,,
free -c,How do I check the usage of my RAM every second for 5 seconds in bytes?,,,,,
free -c,Get statistics of available memory in bytes for the next 5 seconds.,,,,,
free -c,Display free RAM memory in bytes for the next 5 seconds.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in kilobytes.,,,,,
free -c,How do I check the usage of my RAM every second for 5 seconds in kilobytes?,,,,,
free -c,Get statistics of available memory in kilobytes for the next 5 seconds.,,,,,
free -c,Display free RAM memory in kilobytes for the next 5 seconds.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in megabytes.,,,,,
free -c,How do I check the usage of my RAM every second for 5 seconds in megabytes?,,,,,
free -c,Get statistics of available memory in megabytes for the next 5 seconds.,,,,,
free -c,Display free RAM memory in megabytes for the next 5 seconds.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in gigabytes.,,,,,
free -c,How do I check the usage of my RAM every second for 5 seconds in gigabytes?,,,,,
free -c,Get statistics of available memory in gigabytes for the next 5 seconds.,,,,,
free -c,Display free RAM memory in gigabytes for the next 5 seconds.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in terabytes.,,,,,
free -c,How do I check the usage of my RAM every second for 5 seconds in terabytes?,,,,,
free -c,Get statistics of available memory in terabytes for the next 5 seconds.,,,,,
free -c,Display free RAM memory in terabytes for the next 5 seconds.,,,,,
free -c,Display usage of RAM every 1 second for 5 seconds in human readable format.,,,,,
free -c,How do I check the usage of my RAM in human readable format every second for 5 seconds?,,,,,
free -c,Get statistics of available memory for the next 5 seconds in human readable format.,,,,,
free -c,Display free RAM memory in human readable format for the next 5 seconds.,,,,,
free -l,How much free memory do I have on my disk in bytes? Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics in bytes. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details in bytes. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in bytes. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk in kilobytes? Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics in kilobytes. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details in kilobytes. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in kilobytes. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk in megabytes? Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics in megabytes. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details in megabytes. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in megabytes. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk in gigabytes? Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics in gigabytes. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details in gigabytes. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in gigabytes. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk in terabytes? Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics  in terabytes. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details  in terabytes. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory  in terabytes. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk? Show detailed low and high memory statistics in human readable format. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics in human readable format. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details in human readable format. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in human readable format. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk? Show detailed low and high memory statistics in old format. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics without -/+buffers/cache line. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details without -/+buffers/cache line. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory in old format. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,How much free memory do I have on my disk? Show detailed low and high memory statistics and total of RAM and Swap. Use powers of 1000 not 1024.,,,,,
free -l,Show the amount of free memory on my computer with detailed low and high memory statistics and total of RAM plus Swap. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details and total of RAM and Swap. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory. Also include low and high memory statistics and total of RAM plus Swap. Divide by 1000 not 1024.,,,,,
free -l,Display usage of RAM including detailed low and high memory statistics every 1 second. Use powers of 1000 not 1024.,,,,,
free -l,How do I check the usage of my RAM every second? Output should include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details every 1 second. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory every 1 second. Results should inlcude detailed low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -l,Display usage of RAM every 1 second for 5 seconds. Show detailed low and high memory statistics. Use powers of 1000 not 1024.,,,,,
free -l,How do I check the usage of my RAM every second including low and high memory statistics for 5 seconds? Divide by 1000 not 1024.,,,,,
free -l,Get statistics of available memory including low and high memory details for the next 5 seconds. Use powers of 1000 not 1024.,,,,,
free -l,Display free RAM memory for the next 5 seconds. Also include low and high memory statistics. Divide by 1000 not 1024.,,,,,
free -o,How much free memory do I have on my disk in bytes? Give the result in old format. Use powers of 1000 not 1024.,,,,,
free -o,Show the amount of free memory on my computer in bytes, without -/+buffers/cache line. Divide by 1000 not 1024.,,,,
free -o,Get statistics of available memory in bytes, without -/+buffers/cache line. Use powers of 1000 not 1024.,,,,
free -o,Display free RAM memory in old format. Give the output in bytes. Divide by 1000 not 1024.,,,,,
free -o,How much free memory do I have on my disk in kilobytes? Give the result in old format. Use powers of 1000 not 1024.,,,,,
free -o,Show the amount of free memory on my computer in kilobytes, without -/+buffers/cache line. Divide by 1000 not 1024.,,,,
free -o,Get statistics of available memory in kilobytes, without -/+buffers/cache line. Use powers of 1000 not 1024.,,,,
free -o,Display free RAM memory in old format. Give the output in kilobytes. Divide by 1000 not 1024.,,,,,
free -o,How much free memory do I have on my disk in megabytes? Give the result in old format. Use powers of 1000 not 1024.,,,,,
free -o,Show the amount of free memory on my computer in megabytes, without -/+buffers/cache line. Divide by 1000 not 1024.,,,,
free -o,Get statistics of available memory in megabytes, without -/+buffers/cache line. Use powers of 1000 not 1024.,,,,
free -o,Display free RAM memory in old format. Give the output in megabytes. Divide by 1000 not 1024.,,,,,
free -o,How much free memory do I have on my disk in gigabytes? Give the result in old format. Use powers of 1000 not 1024.,,,,,
